path,spoken_language,signed_language,start,end,words,glosses,priority
sgg/qsl_none.pose,de,sgg,0,0,qsl_none,qsl_none,0
sgg/A1.pose,de,sgg,0,0,знакомство,знакомство,0
sgg/B1.pose,de,sgg,0,0,Человек.Родство.Семья,Человек.Родство.Семья,0
sgg/C1.pose,de,sgg,0,0,дом и домашние вещи,дом и домашние вещи,0
sgg/D1.pose,de,sgg,0,0,Эмоция. Чувства. Состояние,Эмоция. Чувства. Состояние,0
sgg/E1.pose,de,sgg,0,0,посуда, продукты и еда,посуда, продукты и еда,0
sgg/F1.pose,de,sgg,0,0,растения,растения,0
sgg/G1.pose,de,sgg,0,0,одежда,одежда,0
sgg/H1.pose,de,sgg,0,0,время,время,0
sgg/I1.pose,de,sgg,0,0,природа,природа,0
sgg/J1.pose,de,sgg,0,0,в мире животных,в мире животных,0
sgg/K1.pose,de,sgg,0,0,спорт, отдых и развлечение,спорт, отдых и развлечение,0
sgg/L1.pose,de,sgg,0,0,город и транстпорт,город и транстпорт,0
sgg/M1.pose,de,sgg,0,0,школа и университет,школа и университет,0
sgg/N1.pose,de,sgg,0,0,государтсво,государтсво,0
sgg/O1.pose,de,sgg,0,0,страны и города,страны и города,0
sgg/P1.pose,de,sgg,0,0,профессия и бизнес,профессия и бизнес,0
sgg/Q1.pose,de,sgg,0,0,IT,IT,0
sgg/R1.pose,de,sgg,0,0,МЕДИЦИНА,МЕДИЦИНА,0
sgg/S1.pose,de,sgg,0,0,ГАЛАКТИКА,ГАЛАКТИКА,0
sgg/T1.pose,de,sgg,0,0,Мода и красота,Мода и красота,0
sgg/U1.pose,de,sgg,0,0,АЛФАВИТ,АЛФАВИТ,0
sgg/V1.pose,de,sgg,0,0,шопинг,шопинг,0
sgg/A2.pose,de,sgg,0,0,я,я,0
sgg/B2.pose,de,sgg,0,0,человек,человек,0
sgg/C2.pose,de,sgg,0,0,антенна,антенна,0
sgg/D2.pose,de,sgg,0,0,Честность,Честность,0
sgg/E2.pose,de,sgg,0,0,банка,банка,0
sgg/F2.pose,de,sgg,0,0,апельсин,апельсин,0
sgg/G2.pose,de,sgg,0,0,кофта,кофта,0
sgg/H2.pose,de,sgg,0,0,время,время,0
sgg/I2.pose,de,sgg,0,0,ветер,ветер,0
sgg/J2.pose,de,sgg,0,0,бабочка,бабочка,0
sgg/K2.pose,de,sgg,0,0,акробат,акробат,0
sgg/L2.pose,de,sgg,0,0,автобус,автобус,0
sgg/M2.pose,de,sgg,0,0,альбом,альбом,0
sgg/N2.pose,de,sgg,0,0,казахстан,казахстан,0
sgg/O2.pose,de,sgg,0,0,австралия,австралия,0
sgg/P2.pose,de,sgg,0,0,аренда,аренда,0
sgg/Q2.pose,de,sgg,0,0,ПАРОЛЬ,ПАРОЛЬ,0
sgg/R2.pose,de,sgg,0,0,КРОВЬ,КРОВЬ,0
sgg/S2.pose,de,sgg,0,0,ВЕНЕРА,ВЕНЕРА,0
sgg/T2.pose,de,sgg,0,0,Шоу,Шоу,0
sgg/U2.pose,de,sgg,0,0,А,А,0
sgg/V2.pose,de,sgg,0,0,магазин,магазин,0
sgg/A3.pose,de,sgg,0,0,ты,ты,0
sgg/B3.pose,de,sgg,0,0,мальчик,мальчик,0
sgg/C3.pose,de,sgg,0,0,балкон,балкон,0
sgg/D3.pose,de,sgg,0,0,бороться,бороться,0
sgg/E3.pose,de,sgg,0,0,бутылка,бутылка,0
sgg/F3.pose,de,sgg,0,0,арбуз,арбуз,0
sgg/G3.pose,de,sgg,0,0,сарафан,сарафан,0
sgg/H3.pose,de,sgg,0,0,вчера,вчера,0
sgg/I3.pose,de,sgg,0,0,вода,вода,0
sgg/J3.pose,de,sgg,0,0,баран,баран,0
sgg/K3.pose,de,sgg,0,0,баскетбол,баскетбол,0
sgg/L3.pose,de,sgg,0,0,автомобиль,автомобиль,0
sgg/M3.pose,de,sgg,0,0,артикуляция,артикуляция,0
sgg/N3.pose,de,sgg,0,0,тараз,тараз,0
sgg/O3.pose,de,sgg,0,0,австрия,австрия,0
sgg/P3.pose,de,sgg,0,0,артист,артист,0
sgg/Q3.pose,de,sgg,0,0,ЧИП,ЧИП,0
sgg/R3.pose,de,sgg,0,0,ДАВЛЕНИЕ,ДАВЛЕНИЕ,0
sgg/S3.pose,de,sgg,0,0,ЧУЖЕСТРАНЕЦ,ЧУЖЕСТРАНЕЦ,0
sgg/T3.pose,de,sgg,0,0,красиво,красиво,0
sgg/U3.pose,de,sgg,0,0,Ә,Ә,0
sgg/V3.pose,de,sgg,0,0,новая коллекция,новая коллекция,0
sgg/A4.pose,de,sgg,0,0,он,он,0
sgg/B4.pose,de,sgg,0,0,мужчина,мужчина,0
sgg/C4.pose,de,sgg,0,0,ванная,ванная,0
sgg/D4.pose,de,sgg,0,0,противостояние,противостояние,0
sgg/E4.pose,de,sgg,0,0,ваза,ваза,0
sgg/F4.pose,de,sgg,0,0,банан,банан,0
sgg/G4.pose,de,sgg,0,0,берет,берет,0
sgg/H4.pose,de,sgg,0,0,год,год,0
